"Provider No.","Facility Name","Facility Type","Facility Subtype","Street Address","City","State","ZIP Code","Telephone","No. of Beds","No. of Certified Beds","No. of Medicaid Nursing Beds","No. of Skilled Nursing Beds","No. of ICF/MR Beds","No. of Physicians","No. of Physician Assistants","No. of Nurse Practitioners","No. of Direct Care Personnel","No. of Other Personnel","Employee Count","Federally Funded Health Center Indicator","Rural Health Center Provider Number","Rural Health Clinic Indicator","Facility Type Description"
"010061","HIGHLANDS MEDICAL CENTER","Hospital","Short Term","380 Woods Cove Rd","Scottsboro","Alabama","35768-2428","256-259-4444","","","","","","2.00","","","","460.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010062","WIREGRASS MEDICAL CENTER","Hospital","Short Term","1200 W Maple Ave","Geneva","Alabama","36340-1642","334-684-3655","","","","","","1.50","","","","103.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010065","RUSSELL MEDICAL CENTER","Hospital","Short Term","3316 Highway 280","Alexander City","Alabama","35010-3369","256-329-7100","","","","","","3.00","","","","422.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010073","CLAY COUNTY HOSPITAL","Hospital","Short Term","83825 Highway 9","Ashland","Alabama","36251-7981","256-354-2131","","","","","","0.80","","","","82.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","Hospital","Short Term","400 E 10th St","Anniston","Alabama","36207-4716","256-235-5121","","","","","","0.00","","","","680.80","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010079","ATHENS LIMESTONE HOSPITAL","Hospital","Short Term","700 W Market St","Athens","Alabama","35611-2457","256-233-9292","","","","","","0.25","","","","237.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","Hospital","Short Term","1613 N McKenzie St","Foley","Alabama","36535-2247","251-949-3400","","","","","","4.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","Hospital","Short Term","1201 7th St SE","Decatur","Alabama","35601","256-341-2000","","","","","","6.00","","","","746.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010086","NORTHWEST MEDICAL CENTER","Hospital","Short Term","1530 US Highway 43","Winfield","Alabama","35594-5056","205-487-7736","","","","","","5.00","","","","152.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010087","USA HEALTH UNIVERSITY HOSPITAL","Hospital","Short Term","2451 Fillingim St","Mobile","Alabama","36617-2238","251-471-7110","","","","","","10.00","","","","599.92","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010089","WALKER BAPTIST MEDICAL CENTER","Hospital","Short Term","3400 Highway 78 E","Jasper","Alabama","35501-8956","205-387-4000","","","","","","0.00","","","","265.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010090","PROVIDENCE HOSPITAL","Hospital","Short Term","6801 Airport Blvd","Mobile","Alabama","36608-3709","251-633-1000","","","","","","1.00","","","","887.75","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010091","GROVE HILL MEMORIAL HOSPITAL","Hospital","Short Term","295 S Jackson St","Grove Hill","Alabama","36451-3231","251-275-3191","","","","","","3.50","","","","52.38","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010092","DCH REGIONAL MEDICAL CENTER","Hospital","Short Term","809 University Blvd E","Tuscaloosa","Alabama","35401-2029","205-759-7111","","","","","","10.00","","","","1930.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010095","HALE COUNTY HOSPITAL","Hospital","Short Term","508 Greene St","Greensboro","Alabama","36744-2316","334-624-3024","","","","","","3.00","","","","36.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010097","ELMORE COMMUNITY HOSPITAL","Hospital","Short Term","500 Hospital Dr","Wetumpka","Alabama","36092-1625","334-567-4311","","","","","","4.00","","","","8.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","Hospital","Short Term","1301 Belleville Ave","Brewton","Alabama","36426-1306","251-867-8061","","","","","","0.00","","","","128.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010100","THOMAS HOSPITAL","Hospital","Short Term","750 Morphy Ave","Fairhope","Alabama","36532-1812","251-928-2375","","","","","","0.70","","","","344.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010101","CITIZENS BAPTIST MEDICAL CENTER","Hospital","Short Term","604 Stone Ave","Talladega","Alabama","35160-2217","256-761-4542","","","","","","0.00","","","","193.17","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010102","J PAUL JONES HOSPITAL","Hospital","Short Term","317 McWilliams Ave","Camden","Alabama","36726-1610","334-682-4131","","","","","","2.00","","","","22.25","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010103","PRINCETON BAPTIST MEDICAL CENTER","Hospital","Short Term","701 Princeton Ave SW","Birmingham","Alabama","35211-1303","205-783-3800","","","","","","1.00","","","","568.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010104","GRANDVIEW MEDICAL CENTER","Hospital","Short Term","3690 Grandview Pkwy","Birmingham","Alabama","35243-3326","205-971-1000","","","","","","17.00","","","","827.33","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010108","PRATTVILLE BAPTIST HOSPITAL","Hospital","Short Term","124 S Memorial Dr","Prattville","Alabama","36067-3619","334-361-4267","","","","","","0.00","","","","98.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010110","BULLOCK COUNTY HOSPITAL","Hospital","Short Term","102 Conecuh Ave W","Union Springs","Alabama","36089-1303","334-738-2140","","","","","","2.00","","","","88.75","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010112","WHITFIELD REGIONAL HOSPITAL","Hospital","Short Term","105 US Highway 80 E","Demopolis","Alabama","36732-3605","334-289-4000","","","","","","4.00","","","","242.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010113","MOBILE INFIRMARY MEDICAL CENTER","Hospital","Short Term","5 Mobile Infirmary Cir","Mobile","Alabama","36607-3513","251-435-4700","","","","","","0.50","","","","929.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","Hospital","Short Term","5000 Medical West Way","Bessemer","Alabama","35022","205-481-7000","","","","","","19.00","","","","429.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","Hospital","Short Term","1015 Medical Center Pkwy","Selma","Alabama","36701-6748","334-418-4100","","","","","","1.10","","","","212.20","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010120","MONROE COUNTY HOSPITAL","Hospital","Short Term","2016 S Alabama Ave","Monroeville","Alabama","36460-3044","251-575-3111","","","","","","5.00","","","","75.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010125","LAKELAND COMMUNITY HOSPITAL","Hospital","Short Term","42024 Highway 195","Haleyville","Alabama","35565-7054","205-485-7117","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010126","TROY REGIONAL MEDICAL CENTER","Hospital","Short Term","1330 Highway 231 S","Troy","Alabama","36081-3058","334-670-5000","","","","","","1.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010128","JACKSON MEDICAL CENTER","Hospital","Short Term","220 Hospital Dr","Jackson","Alabama","36545-2459","251-246-9021","","","","","","4.00","","","","37.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010129","NORTH BALDWIN INFIRMARY","Hospital","Short Term","1815 Hand Ave","Bay Minette","Alabama","36507-4110","251-937-5521","","","","","","0.00","","","","81.40","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010130","ST VINCENT'S ST CLAIR","Hospital","Short Term","7063 Veterans Pkwy","Pell City","Alabama","35125-5114","205-338-3301","","","","","","0.00","","","","82.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010131","CRESTWOOD MEDICAL CENTER","Hospital","Short Term","1 Hospital Dr SW","Huntsville","Alabama","35801-6455","256-882-3100","","","","","","0.00","","","","327.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010138","HILL HOSPITAL OF SUMTER COUNTY","Hospital","Short Term","751 Derby Dr","York","Alabama","36925-2194","205-392-5263","","","","","","1.00","","","","58.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010139","BROOKWOOD BAPTIST MEDICAL CENTER","Hospital","Short Term","1280 Columbiana Rd, Ste 102","Vestavia Hills","Alabama","35216-1604","205-877-1000","","","","","","0.00","","","","857.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010144","SPRINGHILL MEMORIAL HOSPITAL","Hospital","Short Term","3719 Dauphin St","Mobile","Alabama","36608-1753","251-460-5220","","","","","","0.00","","","","575.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010148","EVERGREEN MEDICAL CENTER","Hospital","Short Term","101 Crestview Ave","Evergreen","Alabama","36401-3333","251-578-2480","","","","","","1.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010149","BAPTIST MEDICAL CENTER EAST","Hospital","Short Term","400 Taylor Rd","Montgomery","Alabama","36117-3512","334-244-8330","","","","","","0.00","","","","271.70","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"01014F","BIRMINGHAM VA MEDICAL CENTER","Hospital","Data not provided by CMS","700 19th St S","Birmingham","Alabama","35233-1927","205-933-8101","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"010150","REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA","Hospital","Short Term","29 L V Stabler Dr","Greenville","Alabama","36037-3850","334-382-2200","","","","","","1.00","","","","89.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010157","NORTH ALABAMA SHOALS HOSPITAL","Hospital","Short Term","201 Avalon Ave","Muscle Shoals","Alabama","35661-2805","256-386-1601","","","","","","1.75","","","","86.68","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010158","RUSSELLVILLE HOSPITAL","Hospital","Short Term","15155 Highway 43","Russellville","Alabama","35653-1975","256-332-1611","","","","","","2.00","","","","92.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010164","COOSA VALLEY MEDICAL CENTER","Hospital","Short Term","315 W Hickory St","Sylacauga","Alabama","35150-2913","256-249-5000","","","","","","5.00","","","","313.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","Hospital","Short Term","4401 Riverchase Dr","Phenix City","Alabama","36867-7483","334-732-3000","","","","","","5.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010169","ATMORE COMMUNITY HOSPITAL","Hospital","Short Term","401 Medical Park Dr","Atmore","Alabama","36502-3006","251-368-2500","","","","","","6.00","","","","74.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010173","ST VINCENT'S CHILTON","Hospital","Short Term","2030 Lay Dam Rd","Clanton","Alabama","35045-8344","205-258-4400","","","","","","1.40","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010174","THOMASVILLE REGIONAL MEDICAL CENTER","Hospital","Short Term","300 Med Park Dr","Thomasville","Alabama","36784-5760","205-873-1442","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010175","EAMC - LANIER","Hospital","Short Term","4800 48th St","Valley","Alabama","36854-3666","334-756-9180","","","","","","8.00","","","","193.36","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"01019F","CENTRAL AL VETERANS HLTH CARE SYSTEM WEST CAMPUS","Hospital","Data not provided by CMS","215 Perry Hill Rd","Montgomery","Alabama","36109-3725","334-272-4670","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"01021F","TUSCALOOSA VA MEDICAL CENTER","Hospital","Data not provided by CMS","3701 Loop Rd","Tuscaloosa","Alabama","35404-5015","205-554-2000","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"01022F","CENTRAL AL VETERANS HLTH CARE SYSTEM EAST CAMPUS","Hospital","Data not provided by CMS","2400 Hospital Rd","Tuskegee","Alabama","36083-5001","334-727-0550","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"011300","WASHINGTON COUNTY HOSPITAL","Hospital","Critical Access Hospitals","14600 Saint Stephens Ave","Chatom","Alabama","36518-6711","251-847-2223","","","","","","0.00","","","","7.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"011302","RED BAY HOSPITAL","Hospital","Critical Access Hospitals","211 Hospital Rd","Red Bay","Alabama","35582-3858","256-356-9532","","","","","","0.00","","","","78.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"011304","OCHSNER CHOCTAW GENERAL","Hospital","Critical Access Hospitals","401 Vanity Fair Ave","Butler","Alabama","36904-3032","205-459-9100","","","","","","1.00","","","","39.85","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"011305","ST VINCENTS BLOUNT","Hospital","Critical Access Hospitals","150 Gilbreath Dr","Oneonta","Alabama","35121-2827","205-274-3000","","","","","","1.00","","","","94.50","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"011306","TANNER MEDICAL CENTER-EAST ALABAMA","Hospital","Critical Access Hospitals","1032 Main St S","Wedowee","Alabama","36278-7440","256-357-2111","","","","","","0.00","","","","25.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"011307","MEDICAL CENTER BARBOUR","Hospital","Critical Access Hospitals","820 W Washington St","Eufaula","Alabama","36027-1822","334-688-7271","","","","","","1.00","","","","97.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"012006","INFIRMARY LTAC HOSPITAL","Hospital","Long Term","5 Mobile Infirmary Cir","Mobile","Alabama","36607-3513","251-660-5611","","","","","","0.00","","","","7.00","0.00","Not Applicable","Not Applicable","Not Applicable","Long - Term"
"012008","SELECT SPECIALTY HOSPITAL - BIRMINGHAM","Hospital","Long Term","2010 Brookwood Medical Ctr Dr","Birmingham","Alabama","35209-6804","205-599-4595","","","","","","0.00","","","","17.00","0.00","Not Applicable","Not Applicable","Not Applicable","Long - Term"
"012009","NOLAND HOSPITAL BIRMINGHAM II, LLC","Hospital","Long Term","810 Saint Vincents Dr","Birmingham","Alabama","35205-1601","205-838-5100","","","","","","0.00","","","","18.80","0.00","Not Applicable","Not Applicable","Not Applicable","Long - Term"
"012010","NOLAND HOSPITAL DOTHAN II, LLC","Hospital","Long Term","1108 Ross Clark Cir","Dothan","Alabama","36301-3022","334-699-4300","","","","","","0.00","","","","26.25","0.00","Not Applicable","Not Applicable","Not Applicable","Long - Term"
"012011","NOLAND HOSPITAL ANNISTON II, LLC","Hospital","Long Term","400 E 10th St, Floor 4","Anniston","Alabama","36207-4716","256-741-6141","","","","","","0.00","","","","17.00","0.00","Not Applicable","Not Applicable","Not Applicable","Long - Term"
"012012","NOLAND HOSPITAL TUSCALOOSA II, LLC","Hospital","Long Term","809 University Blvd E","Tuscaloosa","Alabama","35401-2029","205-759-7241","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Long - Term"
"012014","NORTH ALABAMA SPECIALTY HOSPITAL","Hospital","Long Term","700 W Market St","Athens","Alabama","35611-2457","337-269-9566","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Long - Term"
"013025","ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL","Hospital","Rehabilitation","3800 Ridgeway Dr","Birmingham","Alabama","35209-5506","205-868-2000","","","","","","0.00","","","","135.10","0.00","Not Applicable","Not Applicable","Not Applicable","Rehabilitation"
"013028","ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY","Hospital","Rehabilitation","4465 Narrow Lane Rd","Montgomery","Alabama","36116-2953","334-284-7821","","","","","","0.00","","","","125.59","0.00","Not Applicable","Not Applicable","Not Applicable","Rehabilitation"
"013029","ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH  AL","Hospital","Rehabilitation","1490 Highway 72 E","Huntsville","Alabama","35811-1508","205-535-2300","","","","","","20.00","","","","65.00","0.00","Not Applicable","Not Applicable","Not Applicable","Rehabilitation"
"013030","ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN","Hospital","Rehabilitation","1736 E Main St","Dothan","Alabama","36301-3040","334-712-6333","","","","","","0.00","","","","89.90","0.00","Not Applicable","Not Applicable","Not Applicable","Rehabilitation"
"013031","ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY","Hospital","Rehabilitation","900 Oak Mountain Commons Ln","Pelham","Alabama","35124-1484","205-216-7621","","","","","","0.00","","","","49.00","0.00","Not Applicable","Not Applicable","Not Applicable","Rehabilitation"
"013032","ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN","Hospital","Rehabilitation","801 Goodyear Ave","Gadsden","Alabama","35903-1133","256-439-5000","","","","","","0.00","","","","14.00","0.00","Not Applicable","Not Applicable","Not Applicable","Rehabilitation"
"013033","REGIONAL REHABILITATION HOSPITAL","Hospital","Rehabilitation","3715 US Highway 431 N","Phenix City","Alabama","36867-2363","334-732-2200","","","","","","1.00","","","","86.60","0.00","Not Applicable","Not Applicable","Not Applicable","Rehabilitation"
"013300","CHILDREN'S HOSPITAL OF ALABAMA","Hospital","Childrens","1600 7th Ave S","Birmingham","Alabama","35233-1711","205-939-9100","","","","","","63.40","","","","1469.90","0.00","Not Applicable","Not Applicable","Not Applicable","Childrens"
"013301","USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL","Hospital","Childrens","1700 Center St","Mobile","Alabama","36604-3301","251-415-1000","","","","","","8.00","","","","300.00","0.00","Not Applicable","Not Applicable","Not Applicable","Childrens"
"014000","HILL CREST BEHAVIORAL HEALTH SERVICES","Hospital","Psychiatric","6869 5th Ave S","Birmingham","Alabama","35212-1866","205-833-9000","","","","","","0.75","","","","230.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"014006","MOUNTAIN VIEW HOSPITAL","Hospital","Psychiatric","3201 Scenic Hwy","Gadsden","Alabama","35904","256-546-9265","","","","","","2.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"014007","BRYCE HOSPITAL","Hospital","Psychiatric","200 University Blvd","Tuscaloosa","Alabama","35401","205-759-0750","","","","","","7.00","","","","1.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"014012","MARY S HARPER GERIATRIC PSYCHIATRY CENTER","Hospital","Psychiatric","201 University Blvd","Tuscaloosa","Alabama","35401-1249","205-759-0900","","","","","","4.00","","","","161.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"014013","LAUREL OAKS BEHAVIORAL HEALTH CENTER","Hospital","Psychiatric","700 E Cottonwood Rd","Dothan","Alabama","36301-3644","334-794-7373","","","","","","0.00","","","","147.60","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"014014","BAYPOINTE BEHAVIORAL HEALTH","Hospital","Psychiatric","5800 Southland Dr","Mobile","Alabama","36693-3313","251-662-7998","","","","","","3.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"014015","BEACON CHILDREN'S HOSPITAL","Hospital","Psychiatric","150 Hospital Dr","Luverne","Alabama","36049","334-335-5040","","","","","","1.00","","","","40.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
